dia,franja,tipo,uso_armas,barrio
Lunes,12,Lesiones por siniestro vial,,Villa Del Parque
Lunes,12,Lesiones por siniestro vial,,Almagro
Lunes,13,Lesiones por siniestro vial,,Recoleta
Lunes,14,Lesiones por siniestro vial,,San Nicolás
Lunes,12,Lesiones por siniestro vial,,Almagro
Lunes,13,Lesiones por siniestro vial,,Villa Lugano
Lunes,14,Lesiones por siniestro vial,,Villa Del Parque
Lunes,13,Lesiones por siniestro vial,,Villa Pueyrredón
Lunes,13,Lesiones por siniestro vial,,Villa Devoto
Lunes,14,Lesiones por siniestro vial,,Villa Crespo
Sábado,23,Lesiones por siniestro vial,,Palermo
Lunes,14,Lesiones por siniestro vial,,Recoleta
Lunes,14,Lesiones por siniestro vial,,Villa Urquiza
Lunes,16,Lesiones por siniestro vial,,Liniers
Lunes,15,Lesiones por siniestro vial,,Almagro
Lunes,16,Lesiones por siniestro vial,,Flores
Lunes,16,Lesiones por siniestro vial,,Villa Santa Rita
Lunes,16,Lesiones por siniestro vial,,Saavedra
Lunes,17,Lesiones por siniestro vial,,Villa Gral. Mitre
Lunes,17,Lesiones por siniestro vial,,Nueva Pompeya
Lunes,18,Lesiones por siniestro vial,,Parque Patricios
Lunes,18,Lesiones por siniestro vial,,San Cristóbal
Lunes,17,Lesiones por siniestro vial,,Balvanera
Lunes,19,Lesiones por siniestro vial,,Chacarita
Lunes,21,Lesiones por siniestro vial,,Villa Lugano
Martes,0,Lesiones por siniestro vial,,Balvanera
Lunes,23,Lesiones por siniestro vial,,Palermo
Martes,0,Lesiones por siniestro vial,,Retiro
Martes,7,Lesiones por siniestro vial,,Balvanera
Martes,6,Lesiones por siniestro vial,,San Cristóbal
Martes,7,Lesiones por siniestro vial,,Balvanera
Martes,9,Lesiones por siniestro vial,,Boedo
Martes,10,Lesiones por siniestro vial,,Recoleta
Martes,9,Lesiones por siniestro vial,,Balvanera
Martes,12,Lesiones por siniestro vial,,Villa Pueyrredón
Martes,10,Lesiones por siniestro vial,,Balvanera
Martes,12,Lesiones por siniestro vial,,Chacarita
Martes,17,Lesiones por siniestro vial,,Caballito
Martes,16,Lesiones por siniestro vial,,Recoleta
Martes,12,Lesiones por siniestro vial,,Chacarita
Martes,16,Lesiones por siniestro vial,,Saavedra
Lunes,11,Lesiones por siniestro vial,,Floresta
Sábado,13,Lesiones por siniestro vial,,Villa Lugano
Martes,19,Lesiones por siniestro vial,,Colegiales
Martes,21,Lesiones por siniestro vial,,
Martes,19,Lesiones por siniestro vial,,Saavedra
Martes,23,Lesiones por siniestro vial,,Villa Soldati
Miércoles,1,Lesiones por siniestro vial,,Palermo
Miércoles,6,Lesiones por siniestro vial,,San Telmo
Miércoles,8,Lesiones por siniestro vial,,San Cristóbal
Miércoles,8,Lesiones por siniestro vial,,Belgrano
Miércoles,10,Lesiones por siniestro vial,,Constitución
Miércoles,10,Lesiones por siniestro vial,,Parque Patricios
Miércoles,10,Lesiones por siniestro vial,,Belgrano
Miércoles,12,Lesiones por siniestro vial,,Villa Ortuzar
Miércoles,14,Lesiones por siniestro vial,,Palermo
Miércoles,17,Lesiones por siniestro vial,,Nueva Pompeya
Miércoles,15,Lesiones por siniestro vial,,Coghlan
Miércoles,19,Lesiones por siniestro vial,,Villa Urquiza
Miércoles,15,Lesiones por siniestro vial,,Puerto Madero
Miércoles,15,Lesiones por siniestro vial,,Monserrat
Miércoles,21,Lesiones por siniestro vial,,Villa Urquiza
Miércoles,22,Lesiones por siniestro vial,,Palermo
